counts { slugs: 24, titles: 24, statuses: 24, featured: 24 }
1. atlas-briefcase-vintage | Atlas Briefcase · Vintage | available | featured=true
2. atlas-field-briefcase | Atlas Field Briefcase | available | featured=true
3. atlas-kilim-duffle | Atlas Kilim Duffle | available | featured=true
4. atlas-kilim-rucksack | Atlas Kilim Rucksack | available | featured=true
5. atlas-messenger-laptop | Atlas Messenger · Laptop | available | featured=true
6. atlas-weekender-cognac | Atlas Weekender · Cognac | available | featured=true
7. classic-cognac-satchel | Classic Cognac Satchel | available | featured=true
8. cognac-brogue-backpack | Cognac Brogue Backpack | available | featured=true
9. expedition-rolltop-cognac | Expedition Rolltop · Cognac | available | featured=true
10. expedition-rolltop-noir | Expedition Rolltop · Noir | available | featured=true
11. explorer-rolltop-cognac | Explorer Rolltop · Cognac | available | featured=true
12. heritage-rucksack | Heritage Rucksack | available | featured=true
13. marrakech-tote-cognac | Marrakech Tote · Cognac | available | featured=true
14. medina-crossbody-cognac | Medina Crossbody · Cognac | available | featured=true
15. medina-crossbody-envelope | Medina Envelope Crossbody | available | featured=true
16. medina-crossbody-tooled-walnut | Medina Crossbody · Tooled Walnut | available | featured=true
17. medina-duffle | Medina Duffle | reserved | featured=false
18. medina-rucksack-drawstring | Medina Drawstring Rucksack | available | featured=true
19. medina-rucksack-flap-chocolate | Medina Rucksack · Flap Chocolate | available | featured=true
20. medina-saddlebag-tooled-cognac | Medina Saddlebag · Tooled Cognac | available | featured=true
21. oasis-weekender-oxblood | Oasis Weekender · Oxblood | available | featured=true
22. vintage-buckle-backpack | Vintage Buckle Backpack | available | featured=true
23. vintage-satchel-light-brown | Vintage Satchel · Light Brown | available | featured=true
24. woven-leather-backpack | Woven Leather Backpack | available | featured=true
