"verdict","slug","title","status","featured","driveFolder","heroFiles","expectedFirst","supabaseFirst","airtableFirst","notes"
"PASS","atlas-briefcase-vintage","Atlas Briefcase · Vintage","available","true","MT-MS-001__atlas-briefcase-vintage","Hero-atlas-briefcase-vintage.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-white.webp",""
"PASS","atlas-field-briefcase","Atlas Field Briefcase","available","true","MT-MS-002__atlas-field-briefcase","Hero-atlas-field-briefcase-HD.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-white.webp",""
"PASS","atlas-kilim-duffle","Atlas Kilim Duffle","available","true","MT-WD-002__atlas-kilim-duffle","Hero-atlas-kilim-duffle.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-duffle-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-duffle-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-duffle-pdp-white.webp",""
"PASS","atlas-kilim-rucksack","Atlas Kilim Rucksack","available","true","MT-BP-002__atlas-kilim-rucksack","Hero-atlas-kilim-rucksack.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-white.webp",""
"PASS","atlas-messenger-laptop","Atlas Messenger · Laptop","available","true","MT-MS-003__atlas-messenger-laptop","Hero-atlas-messenger-laptop.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-white.webp",""
"PASS","atlas-weekender-cognac","Atlas Weekender · Cognac","available","true","MT-WD-003__atlas-weekender-cognac","Hero-atlas-weekender-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-white.webp",""
"PASS","classic-cognac-satchel","Classic Cognac Satchel","available","true","MT-CB-001__classic-cognac-satchel","Hero-classic-cognac-satchel.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-white.webp",""
"PASS","cognac-brogue-backpack","Cognac Brogue Backpack","available","true","MT-BP-003__cognac-brogue-backpack","Hero-cognac-brogue-backpack.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-white.webp",""
"PASS","expedition-rolltop-cognac","Expedition Rolltop · Cognac","available","true","MT-BP-004__expedition-rolltop-cognac","Hero-expedition-rolltop-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-white.webp",""
"PASS","expedition-rolltop-noir","Expedition Rolltop · Noir","available","true","MT-BP-005__expedition-rolltop-noir","Hero-expedition-rolltop-noir-HD.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-white.webp",""
"PASS","explorer-rolltop-cognac","Explorer Rolltop · Cognac","available","true","MT-BP-006__explorer-rolltop-cognac","Hero-explorer-rolltop-cognac-HD.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-white.webp",""
"PASS","heritage-rucksack","Heritage Rucksack","available","true","MT-BP-008__heritage-rucksack","Hero-heritage-rucksack-hd.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/heritage-rucksack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/heritage-rucksack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/heritage-rucksack-pdp-white.webp",""
"PASS","marrakech-tote-cognac","Marrakech Tote · Cognac","available","true","MT-TT-001__marrakech-tote-cognac","Hero-marrakech-tote-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/marrakech-tote-cognac-pdp-white.webp",""
"PASS","medina-cargo-rucksack-cognac","Medina Cargo Rucksack · Cognac","reserved","false","MT-BP-012__medina-cargo-rucksack-cognac","Hero-medina-cargo-rucksack-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-cargo-rucksack-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-cargo-rucksack-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-cargo-rucksack-cognac-pdp-white.webp",""
"PASS","medina-crossbody-clasp-teal","Medina Crossbody · Clasp Teal","reserved","false","MT-CB-003__medina-crossbody-clasp-teal","Hero-medina-crossbody-clasp-teal-HD.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-clasp-teal-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-clasp-teal-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-clasp-teal-pdp-white.webp",""
"PASS","medina-crossbody-cognac","Medina Crossbody · Cognac","available","true","MT-CB-004__medina-crossbody-cognac","Hero-medina-crossbody-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-cognac-pdp-white.webp",""
"PASS","medina-crossbody-envelope","Medina Envelope Crossbody","available","true","MT-CB-005__medina-crossbody-envelope","Hero-medina-crossbody-envelope.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-envelope-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-envelope-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-envelope-pdp-white.webp",""
"PASS","medina-crossbody-tooled-walnut","Medina Crossbody · Tooled Walnut","available","true","MT-CB-007__medina-crossbody-tooled-walnut","Hero-medina-crossbody-tooled-walnut.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-tooled-walnut-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-tooled-walnut-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-crossbody-tooled-walnut-pdp-white.webp",""
"PASS","medina-duffle","Medina Duffle","reserved","false","MT-WD-005__medina-duffle","Hero-medina-duffle.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-duffle-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-duffle-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-duffle-pdp-white.webp",""
"PASS","medina-market-tote-cognac","Medina Market Tote · Cognac","reserved","false","MT-TT-002__medina-market-tote-cognac","Hero-medina-market-tote-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-market-tote-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-market-tote-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/medina-market-tote-cognac-pdp-white.webp",""
