slug,image_count,hero,small_count,needs_upscale,path
atlas-briefcase-vintage,9,Hero-atlas-briefcase-vintage.png,9,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/atlas-briefcase-vintage
atlas-escape-duffle,9,Hero-atlas-escape-duffle.png,9,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/atlas-escape-duffle
atlas-field-briefcase,18,Hero-atlas-field-briefcase.webp,18,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/atlas-field-briefcase
atlas-kilim-backpack,20,Hero-atlas-kilim-backpack.png,20,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/atlas-kilim-backpack
atlas-kilim-duffle,18,Hero-atlas-kilim-duffle.png,18,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/atlas-kilim-duffle
atlas-kilim-rucksack,19,Hero-atlas-kilim-rucksack.png,18,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/atlas-kilim-rucksack
atlas-messenger-laptop,10,Hero-atlas-messenger-laptop.png,9,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/atlas-messenger-laptop
atlas-messenger-laptop-strap,10,Hero-atlas-messenger-laptop-strap.png,9,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/atlas-messenger-laptop-strap
atlas-weekender-cognac,10,Hero-atlas-weekender-cognac.png,9,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/atlas-weekender-cognac
classic-cognac-satchel,10,Hero-classic-cognac-satchel.png,10,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/classic-cognac-satchel
cognac-brogue-backpack,9,Hero-cognac-brogue-backpack.png,9,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/cognac-brogue-backpack
expedition-rolltop-cognac,10,Hero-expedition-rolltop-cognac.png,0,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/expedition-rolltop-cognac
expedition-rolltop-noir,9,Hero-expedition-rolltop-noir.png,8,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/expedition-rolltop-noir
explorer-rolltop-cognac,30,Hero-explorer-rolltop-cognac.png,30,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/explorer-rolltop-cognac
explorer-rolltop-noir,10,Hero-explorer-rolltop-noir.png,10,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/explorer-rolltop-noir
heritage-rucksack,8,Hero-heritage-rucksack-hd.png,0,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/heritage-rucksack
kilim-travel-bag-moutarde,10,Hero-kilim-travel-bag-moutarde.png,10,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/kilim-travel-bag-moutarde
le-caravanier-chocolate,10,Hero-le-caravanier-chocolate.png,10,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/le-caravanier-chocolate
le-caravanier-light,10,Hero-le-caravanier-light.png,10,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/le-caravanier-light
le-nomade,9,Hero-le-nomade.png,9,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/le-nomade
marrakech-tote-cognac,14,Hero-marrakech-tote-cognac.png,9,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/marrakech-tote-cognac
medina-cargo-rucksack-cognac,9,Hero-medina-cargo-rucksack-cognac.png,9,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-cargo-rucksack-cognac
medina-cargo-rucksack-moutarde,15,Hero-medina-cargo-rucksack-moutarde.png,15,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-cargo-rucksack-moutarde
medina-courtyard-crossbody,10,Hero-medina-courtyard-crossbody.png,10,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-courtyard-crossbody
medina-crossbody-clasp-teal,14,Hero-medina-crossbody-clasp-teal.png,13,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-crossbody-clasp-teal
medina-crossbody-cognac,11,Hero-medina-crossbody-cognac.png,10,False,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-crossbody-cognac
medina-crossbody-envelope,19,Hero-medina-crossbody-envelope.png,19,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-crossbody-envelope
medina-crossbody-tooled-dark-brown,19,Hero-medina-crossbody-tooled-dark-brown.png,18,True,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/usable product pics/medina-crossbody-tooled-dark-brown
