folder,index,filename,type,width,height,duration,path
lifestyle,1,Atelier-artisan-cutting-table-cognac-leather-arches.png,image,2880,5120,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Atelier-artisan-cutting-table-cognac-leather-arches.png
lifestyle,2,Detail-hands-brass-clasp-cognac-handbag.png,image,1344,768,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Detail-hands-brass-clasp-cognac-handbag.png
lifestyle,3,Hero-briefcase-cognac-black-drape-studio.png,image,1280,720,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-briefcase-cognac-black-drape-studio.png
lifestyle,4,Hero-briefcase-corridor-arches.png,image,1344,768,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-briefcase-corridor-arches.png
lifestyle,5,Hero-camels-dune-ridge-blue-sky.png,image,5120,2880,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-camels-dune-ridge-blue-sky.png
lifestyle,6,Hero-cargo-rucksack-cognac-concrete.png,image,5120,2880,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-cargo-rucksack-cognac-concrete.png
lifestyle,7,Hero-clutch-oxblood-brass-hands.png,image,1344,768,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-clutch-oxblood-brass-hands.png
lifestyle,8,Hero-clutch-oxblood-envelope-hands.png,image,1344,768,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-clutch-oxblood-envelope-hands.png
lifestyle,9,Hero-doctor-bag-chocolate-zellige-arch-beam.png,image,5120,2880,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-doctor-bag-chocolate-zellige-arch-beam.png
lifestyle,10,Hero-doctor-bag-cognac-asian-model-sage.png,image,6048,2592,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-doctor-bag-cognac-asian-model-sage.png
lifestyle,11,Hero-doctor-bag-cognac-blue-zellige-niche.png,image,1280,720,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-doctor-bag-cognac-blue-zellige-niche.png
lifestyle,12,Hero-duffle-cappadocia-balloons-sunrise.png,image,6048,2592,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-duffle-cappadocia-balloons-sunrise.png
lifestyle,13,Hero-duffle-cognac-light-beam-dark.png,image,1344,768,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-duffle-cognac-light-beam-dark.png
lifestyle,14,Hero-duffle-cognac-stone-plinth-warm-wall.png,image,5120,2880,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-duffle-cognac-stone-plinth-warm-wall.png
lifestyle,15,Hero-duffle-courtyard-arches.png,image,5120,2880,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-duffle-courtyard-arches.png
lifestyle,16,Hero-duffle-desert-palace-arch-woman.png,image,5120,2880,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-duffle-desert-palace-arch-woman.png
lifestyle,17,Hero-duffle-desert-palace-portrait.png,image,2880,5120,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-duffle-desert-palace-portrait.png
lifestyle,18,Hero-duffle-dune-lantern-dusk.png,image,1344,768,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-duffle-dune-lantern-dusk.png
lifestyle,19,Hero-duffle-oxblood-woven-zellige-doorway.png,image,2880,5120,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-duffle-oxblood-woven-zellige-doorway.png
lifestyle,20,Hero-duffle-vintage-weathered-stone-plinth.png,image,2880,5120,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-duffle-vintage-weathered-stone-plinth.png
lifestyle,21,Hero-handbag-cognac-asian-model-sage.png,image,5120,2880,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-handbag-cognac-asian-model-sage.png
lifestyle,22,Hero-handbag-noir-stone-courtyard.png,image,896,1152,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-handbag-noir-stone-courtyard.png
lifestyle,23,Hero-messenger-chocolate-zellige-arch-medallion.png,image,5120,2880,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-messenger-chocolate-zellige-arch-medallion.png
lifestyle,24,Hero-messenger-cognac-peeling-wall.png,image,1280,720,,/Users/ryanz/Library/CloudStorage/GoogleDrive-ryanaoufal@gmail.com/My Drive/Maison Tanneurs/Maisom TanneursLifestyle images/Hero-messenger-cognac-peeling-wall.png
